#{"t_start": 1783431857.098685, "env_id": "None"}
r,l,t
-433.677195,1000,1158.487091
-311.765631,1000,1162.972413
-438.913264,1000,1167.488527
-466.633067,1000,1171.980219
-449.153242,1000,1176.512728
-470.741733,1000,1181.022246
-870.862869,1000,1185.513179
-471.4713,1000,1190.010823
-491.781202,1000,1194.725077
-950.162978,1000,1199.371811
-451.991373,1000,1203.876256
-997.484712,1000,1208.36106
-1022.576022,1000,1213.049781
-474.695668,1000,1217.6083
-831.992028,1000,1222.176553
-461.22643,1000,1226.748148
-395.58628,1000,1232.116775
-362.108548,1000,1236.827867
-311.187415,1000,1241.395918
-1034.672037,1000,1245.850433
-856.815829,1000,1250.429902
-314.890108,1000,1254.958652
-825.17719,1000,1259.411525
-352.874329,1000,1263.809422
-428.466581,1000,1270.119892
-305.54874,1000,1275.199876
-310.578966,1000,1279.754562
-350.031272,1000,1284.665416
-418.876328,1000,1289.328079
-512.440109,1000,1294.12156
-893.212943,1000,1298.95394
-334.391404,1000,1303.635111
-786.840309,1000,1308.455787
-530.679223,1000,1313.029426
-473.165211,1000,1317.543968
-341.391466,1000,1322.230481
-1153.043539,1000,1327.121998
-468.495094,1000,1331.938439
-418.450939,1000,1336.996092
-439.557735,1000,1341.488039
-1363.980013,1000,1346.100153
-472.999386,1000,1350.747777
-402.712896,1000,1355.643339
-397.176566,1000,1360.331346
-1219.459723,1000,1364.865065
-771.51509,1000,1369.30117
-738.26226,1000,1373.715063
-490.108285,1000,1378.108358
-337.995191,1000,1382.490827
-337.250252,1000,1386.933168
-309.446269,1000,1391.347232
-854.101416,1000,1395.728828
-877.58015,1000,1400.130614
-1226.710792,1000,1404.524372
-929.235384,1000,1408.936138
-245.265438,1000,1413.366862
-839.363016,1000,1417.790096
-822.927065,1000,1422.196161
-418.962152,1000,1426.642613
-370.448271,1000,1431.046767
-382.558203,1000,1435.462728
-894.491402,1000,1439.877881
-373.623802,1000,1444.307093
-397.833125,1000,1448.754185
-397.721922,1000,1453.275017
-397.262553,1000,1457.699673
-284.101336,1000,1462.157427
-324.097993,1000,1466.58626
-428.210016,1000,1471.01241
-267.935805,1000,1475.446063
-391.948352,1000,1479.863066
-1048.504527,1000,1484.240412
-1056.630911,1000,1488.553542
-1273.405169,1000,1492.937163
-554.669486,1000,1497.466354
-424.942087,1000,1501.85906
-786.90306,1000,1506.756019
-1137.19502,1000,1511.873854
-449.707933,1000,1516.396789
-439.681522,1000,1520.909112
-449.499715,1000,1525.459364
-898.841768,1000,1529.918658
-435.939257,1000,1534.357385
-556.399833,1000,1538.816336
-524.538478,1000,1543.252062
-922.634834,1000,1547.715107
-417.507007,1000,1552.14283
-861.236214,1000,1556.698828
-441.612136,1000,1561.354549
-439.430011,1000,1565.968973
-502.334772,1000,1570.546636
-476.781733,1000,1575.870926
-337.979938,1000,1581.34839
-826.465554,1000,1585.845281
-538.023329,1000,1590.328678
-678.319548,1000,1594.804531
-468.080635,1000,1599.379491
-421.346168,1000,1603.910444
-519.345434,1000,1608.546073
-880.468231,1000,1614.146497
-918.536276,1000,1619.584697
-454.959034,1000,1625.599918
-684.350324,1000,1631.549296
-753.477352,1000,1637.496728
-474.192686,1000,1643.620137
-447.306435,1000,1649.57904
-873.670037,1000,1654.692909
-584.279888,1000,1659.680467
-939.216227,1000,1664.351056
-1128.609329,1000,1668.969834
-844.85252,1000,1673.298931
-256.955319,1000,1677.623313
-807.235294,1000,1682.007556
-301.631092,1000,1686.555253
-911.116168,1000,1691.05156
-813.460693,1000,1695.406232
-370.511256,1000,1699.58517
-594.257461,1000,1703.852394
-388.823788,1000,1708.337525
-373.253066,1000,1713.682692
-491.241506,1000,1718.020133
-358.239003,1000,1722.145232
-396.465499,1000,1727.116286
-377.34943,1000,1731.528758
-882.209036,1000,1735.825377
-338.071469,1000,1740.029761
-437.799199,1000,1744.301498
-507.240345,1000,1748.610524
-730.582766,1000,1753.0421
-906.966238,1000,1757.356275
-284.007549,1000,1761.565495
-650.142847,1000,1765.781679
-582.616122,1000,1770.024299
-828.461575,1000,1774.215701
-431.542198,1000,1778.426704
-646.009973,1000,1782.661373
-424.548249,1000,1786.922405
-767.416366,1000,1791.159381
-979.428291,1000,1795.339106
-381.566541,1000,1799.551869
-803.129786,1000,1804.52436
-621.140727,1000,1809.941704
-545.554134,1000,1814.214511
-598.317871,1000,1818.542456
-2382.327094,1000,1822.901368
-555.437005,1000,1827.317153
-900.518111,1000,1832.263908
-360.143589,1000,1837.3313
-344.611187,1000,1841.543858
-370.886567,1000,1845.947445
-335.154466,1000,1850.285976
-337.614756,1000,1854.55403
-565.275244,1000,1858.886854
-383.942641,1000,1863.177293
-2212.457648,1000,1867.80766
-365.78843,1000,1872.684758
-764.519101,1000,1877.504408
-669.703025,1000,1882.248697
-441.553818,1000,1886.806437
-710.268017,1000,1891.409175
-455.959352,1000,1895.770937
-762.608325,1000,1900.07995
-930.538608,1000,1904.440028
-547.550448,1000,1908.739751
-756.591495,1000,1913.072513
-629.338037,1000,1917.640784
-627.114605,1000,1922.294512
-437.129266,1000,1927.287481
-453.74905,1000,1931.773954
-333.080476,1000,1936.02661
-588.131505,1000,1940.572219
-493.350988,1000,1945.616686
-441.605425,1000,1950.062458
-325.539882,1000,1954.252961
-269.75436,1000,1958.605175
-307.705197,1000,1962.786756
-535.070307,1000,1966.970534
-510.605332,1000,1971.13653
-324.333707,1000,1975.311783
-568.947105,1000,1979.606864
-510.863094,1000,1983.974866
-356.691343,1000,1988.347185
-314.053246,1000,1992.781929
-380.045654,1000,1997.184836
-487.877095,1000,2001.48169
-517.135771,1000,2005.766714
-452.676275,1000,2010.086722
-482.645813,1000,2014.345697
-659.939505,1000,2018.791579
-370.923209,1000,2023.012944
-709.799846,1000,2027.357781
-662.75201,1000,2031.631426
-523.590201,1000,2035.952951
-497.477679,1000,2040.26996
-513.272458,1000,2044.450434
-524.449235,1000,2048.769337
-572.469154,1000,2053.126246
-573.402853,1000,2057.617936
-603.546851,1000,2062.137706
-555.092195,1000,2068.501736
