#{"t_start": 1783397271.139304, "env_id": "None"}
r,l,t
-3178.000994,390,79.649004
-2226.751031,415,79.712175
-2159.430674,618,79.805026
-3342.343949,428,79.869245
-2923.073354,563,80.268237
-3529.400128,470,80.339057
-5651.726268,458,80.407653
-3642.728506,480,80.479693
-3757.672352,431,80.857873
-2919.271406,373,80.913619
-2874.255533,534,80.992854
-3422.968561,500,81.068164
-3096.733902,412,81.448109
-4883.890487,896,81.582595
-2369.923967,369,81.636841
-2447.718627,444,81.701046
-3116.755056,510,82.093869
-2289.614423,435,82.159634
-2157.198583,471,82.229647
-3086.444125,507,82.304838
-3822.653851,484,82.693176
-4370.150027,587,82.781897
-1890.905033,435,82.84776
-4633.389465,556,82.93246
-1976.701047,399,83.309949
-2763.855491,398,83.369479
-2157.007647,466,83.439612
-3045.201243,475,83.51063
-2307.036285,381,83.567588
-1905.510362,378,83.941012
-2699.305806,375,83.997378
-2175.608816,475,84.06891
-2471.998273,574,84.155921
-2471.302148,566,84.561854
-1695.354811,328,84.612683
-3480.187789,739,84.724887
-1882.438373,356,84.777997
-2333.768073,429,84.842131
-1749.986685,499,85.233388
-1894.457836,379,85.29107
-2248.239219,313,85.33835
-2010.017207,414,85.399424
-1791.544371,497,85.473449
-2152.763919,421,85.852167
-1641.776844,348,85.90465
-1958.34361,451,85.972636
-2262.113802,359,86.026513
-2479.497975,472,86.097363
-1825.369041,344,86.460851
-2594.85974,482,86.532033
-2388.357169,469,86.602594
-1750.237637,446,86.669312
-2028.718926,448,87.047938
-1997.327246,382,87.105299
-2809.417927,470,87.175121
-2160.400304,433,87.239365
-2431.265832,428,87.302066
-2109.904218,443,87.680962
-2972.372361,417,87.744344
-3105.267133,498,87.818817
-1994.095379,457,87.887249
-2058.618815,402,87.947704
-2744.403968,371,88.31652
-2917.127613,516,88.39419
-2235.548855,423,88.458052
-2528.739684,430,88.5226
-2020.452699,398,88.579928
-2516.864103,428,88.956343
-2879.119391,420,89.017347
-2730.069299,560,89.097485
-2563.631304,522,89.173458
-2555.808833,382,89.537971
-2247.195596,447,89.60389
-2464.880314,406,89.663875
-2105.910396,477,89.734564
-1875.65148,388,89.792033
-2433.370761,485,90.171183
-2684.333235,413,90.229698
-2625.664941,389,90.285016
-2460.538673,473,90.351574
-1770.072022,464,90.727962
-2402.222977,371,90.782687
-1736.118812,505,90.853043
-2369.725668,373,90.906028
-1857.473395,387,90.962195
-2698.210564,371,91.33064
-1981.819263,395,91.386324
-2766.171939,446,91.447713
-2576.119411,503,91.516292
-3313.991346,532,91.588437
-2730.898963,477,91.971602
-2258.003115,528,92.051255
-3312.73356,500,92.12687
-2633.334833,489,92.201712
-2249.539855,630,92.615324
-2086.296969,394,92.674022
-2646.039139,522,92.752513
-2143.740369,472,92.820477
-3828.780987,550,93.223937
-2543.596473,492,93.297973
-2484.379489,397,93.357621
-2598.518059,486,93.429999
-4254.535082,668,93.850928
-2252.264588,450,93.920582
-2659.902259,413,93.983109
-2784.195542,518,94.061058
-2905.604101,365,94.42916
-2312.637592,559,94.5133
-2842.71112,361,94.567167
-2210.537096,582,94.653
-2864.648297,519,94.730665
-2550.648518,505,95.173982
-2146.295038,476,95.245798
-2722.913609,513,95.323765
-2700.350933,496,95.397175
-2271.617525,394,95.775937
-2997.725297,484,95.849225
-2583.247557,512,95.926276
-2312.478187,443,95.992957
-2839.338608,395,96.365378
-1827.673373,373,96.421441
-3118.139918,590,96.509505
-2419.922468,463,96.579336
-2334.201745,417,96.642918
-2253.107535,524,97.041585
-2546.90838,456,97.10923
-2770.984605,507,97.185287
-3488.128939,892,97.63912
-2195.224103,510,97.716128
-1765.164168,369,97.771108
-1792.025159,401,97.831417
-1755.740064,454,97.899367
-1997.043958,386,98.270061
-2347.327257,445,98.337755
-2372.680845,471,98.408015
-1690.598832,410,98.469739
-1817.136506,398,98.528426
-1675.547217,420,98.908704
-2226.562896,442,98.975813
-1826.133748,390,99.034402
-3082.28559,569,99.118685
-1762.475081,451,99.506127
-1944.296156,385,99.564071
-1950.281705,393,99.622937
-1795.702465,350,99.675666
-2428.070364,428,99.739192
-2048.043009,494,100.125535
-2315.255746,450,100.192243
-1881.092266,415,100.254918
-2413.082597,428,100.319429
-2468.272601,440,100.385191
-1766.588282,371,100.75812
-2630.58819,457,100.826765
-2248.662246,435,100.892258
-1713.734581,338,100.942402
-2619.66454,441,101.008644
-1925.462131,454,101.391622
-2170.916702,365,101.446038
-2158.046868,450,101.512794
-2088.413062,556,101.649303
-1933.450601,343,102.029876
-2189.500309,425,102.094401
-1686.550056,341,102.144605
-2075.872706,482,102.217196
-2183.567667,491,102.289958
-1692.845935,462,102.667901
-3102.03252,577,102.755089
-1554.394035,482,102.826709
-2394.043958,493,102.900488
-2188.894578,411,103.275252
-2162.797935,492,103.349387
-1932.325404,474,103.419745
-1596.804242,322,103.467099
-1857.68915,379,103.523692
-1727.180636,352,103.884746
-1902.584311,464,103.95443
-1626.227206,331,104.003827
-2576.972033,476,104.074505
-2315.797658,398,104.133803
-2609.488168,465,104.516722
-1632.766257,473,104.588436
-1845.377584,505,104.664394
-2043.915094,509,104.73817
-1876.748472,458,105.107136
-1653.686144,370,105.156318
-2180.813009,415,105.211415
-1700.413653,359,105.258967
-2130.563694,470,105.320654
-1604.739941,346,105.369615
-1794.365802,375,105.726378
-2185.939233,454,105.794372
-1716.556883,349,105.847409
-1577.999366,327,105.896483
-2348.110815,487,105.969357
-2436.099675,428,106.349992
-1979.942354,531,106.42964
-1762.434032,343,106.481685
-2889.849343,546,106.563798
-1989.373641,525,107.017481
-1741.032157,372,107.073151
-1954.188706,553,107.155016
-1656.166146,504,107.230892
-2999.260145,474,107.620387
-1888.301871,523,107.699898
-1662.557353,517,107.778254
-2327.075957,377,107.834633
-2986.974915,489,107.908637
-2002.528286,430,108.293414
-1593.292764,345,108.345097
-3086.025622,533,108.425461
-1809.608528,434,108.490465
-1700.261832,496,108.880834
-1764.4138,505,108.957976
-2598.326858,450,109.025162
-2188.180309,438,109.089942
-1682.081678,345,109.142059
-1551.474356,305,109.502563
-2204.24249,590,109.591111
-1667.118572,573,109.676924
-1594.480134,358,109.730397
-1592.565765,426,110.107258
-1968.594208,379,110.164191
-1716.55758,418,110.226686
-2421.154261,460,110.295209
-2387.824249,526,110.374433
-1923.960532,487,110.76069
-1638.445934,387,110.818293
-2515.927927,345,110.870716
-2306.63156,370,110.926295
-1548.447921,334,110.97655
-2681.785146,386,111.347562
-1503.70779,341,111.399445
-1778.73522,384,111.45719
-1635.648828,355,111.510119
-1578.959148,343,111.560956
-1677.856176,388,111.618815
-1970.769628,375,111.990444
-1440.028389,341,112.043132
-2140.327621,506,112.119386
