controller,trajectory,scenario,pos_rmse,heading_rmse,effort,compute_ms_mean,compute_ms_max
pid,figure8,actuator_noise,0.1905353454832244,0.2721624270368486,19330.122692865258,0.008775752852670848,0.03908301005139947
mpc,figure8,actuator_noise,0.03389258763586272,0.01572999161435011,18309.20465699956,2.682381303903336,64.02387499110773
ppo,figure8,actuator_noise,0.16922947473992325,0.12126035258289788,25347.444088364347,0.08293004960675414,0.19766698824241757
sac,figure8,actuator_noise,0.48539877513512436,0.4703477095966871,67531.17465526203,0.11870126094436273,0.4522500094026327
sac_dr,figure8,actuator_noise,0.3685474643321289,0.483358888006317,85283.86906274482,0.11597027676180005,0.3499169833958149
pid,waypoints,actuator_noise,0.6653236231050648,0.17149682313726183,14928.55542637701,0.008762102719629183,0.03783300053328276
mpc,waypoints,actuator_noise,0.22077229825658323,0.015112794956355941,42199.33161988827,2.958988132100785,32.40787499817088
ppo,waypoints,actuator_noise,0.9897243024752373,0.41038666600089935,61856.967427175085,0.082109505077824,0.18754199845716357
sac,waypoints,actuator_noise,0.8524686505523518,0.21110675705152387,73126.72939497353,0.1175556909875013,0.3274999908171594
sac_dr,waypoints,actuator_noise,0.8626063477474445,0.11309786090892725,55697.5564883758,0.12136831454699859,1.0999999940395355
pid,circle,external_push,1.0418395535498166,0.1442014130945434,47067.25455854722,0.008667689777212217,0.03616698086261749
mpc,circle,external_push,0.7816265650301807,0.13920601564014268,53372.081056384864,3.141458255908219,98.44141703797504
ppo,circle,external_push,16.89563889963634,1.65919015073556,124236.48399648111,0.08244622682104819,0.5243750056251884
sac,circle,external_push,20.694933395866418,1.4885864820094536,126631.07588551952,0.11672971438383684,0.5536249955184758
sac_dr,circle,external_push,104.8995492806571,1.5977991071165787,114378.49635614126,0.11700632952852175,0.4433750291354954
pid,figure8,external_push,2.7909260307813346,0.3650291087304566,65984.98566757404,0.008390176090567062,0.020709005184471607
mpc,figure8,external_push,0.945847348119087,0.09593114402709531,53454.43856899312,2.910244975821115,45.62074999557808
ppo,figure8,external_push,1.6358696901533956,0.5350137038701065,88088.1564322283,0.08162729414956023,0.5405410192906857
sac,figure8,external_push,84.4061855490434,1.726462742863093,222788.25703937522,0.115091804570208,0.2652080147527158
sac_dr,figure8,external_push,218.52741261595685,1.6701079586615128,219359.24032213725,0.11416520541145778,0.17337501049041748
pid,waypoints,external_push,1.0423532135925182,1.278038105951201e-15,28122.44630955808,0.008649982599308714,0.03558403113856912
mpc,waypoints,external_push,0.9090073958541334,0.11489073926557632,65771.03683957797,3.0310382006282452,24.12966697011143
ppo,waypoints,external_push,4.0229834023571645,1.0422529343644666,107929.26838124041,0.08122509691747837,0.1795829739421606
sac,waypoints,external_push,49.8407603112387,1.6417289521063256,141132.4347263572,0.11442747380351648,0.1801249454729259
sac_dr,waypoints,external_push,149.5650719297624,1.739358783833893,136225.1528379203,0.11447959206998348,0.1847500097937882
